author,date,description,tags,title
Claudia Comito,July 2021,"HPC, Scientific Big Data, co-design, Python: beneath the buzzwords,,bringing together academics from the most disparate research fields to work on a common product is no easy feat. What worked, what didn't, and lessons learned from the Helmholtz Analytics Framework experience.","Big Data,python",Connecting Communities: the Helmholtz Analytics Framework and the making of Heat
Jeremiah Paige,July 2021,"What is formal grammar, how does it create a programming language and what does Python's grammar look like. In Python 3.9 the grammar parsing engine was changed; find out some of the reasons why and what this change has allowed in terms of future language evolution.","CPython,Compiler and Interpreters,Python 3",Formalizing a Language
Andreas Klostermann,July 2021,"Pulse sensors have found their way into a surprising number of devices, and they are useful in many kinds of contexts, most of all in medical ones.,This talk will cover mostly ""electrocardiography"", the electrical way to listen to your heart. I will cover briefly how the heart works, how ECG sensors work and how to build a simple ECG with an Arduino or similar microcontrollers.,Then I will show you a bit about how to analyze such data and do some machine learning.","DIY,Data Science,Jupyter,Machine-Learning,Natural Science",Heartbeats for Hackers
Carlos Villavicencio,July 2021,"It is well known that Python 3 is an object-oriented language. But if we look back at the roots of the language, functions as first-class objects were part of the initial design. Recently, functional programming has gained considerable popularity because it is robust, concise, and easier to test. That set of benefits are not only reserved for functional pure programming languages such as Haskell.","Abstractions,Best Practice,Functional Programming,Python Skills,Type-Hinting",Functional Programming inside OOP? It’s possible with Python
Nicolò Giso,July 2021,"Tenova is an engineering company working alongside client-partners to design and develop innovative technologies and services that improve their business, creating solutions that help metals and mining companies to reduce costs, save energy, limit environmental impact and improve working conditions for their employees.","Data,Internet of Things (IoT),Public Cloud,Use Case,python","From telemetry data to CSVs with Python, Spark and Azure Databricks"
Anna-Lena Popkes,July 2021,"This talk was inspired by a personal project I worked on a while ago where I created my own magical universe in order to learn and apply Python concepts I hadn’t used before. Some of these concepts are included in the talk in a clear, precise and well-explained manner, including examples from the magical universe. The talk tells a story about how our passions can be used for learning to create something magical. ","Beginners,Data Structures,Education,Fun and Humor,Learning",Finding Magic in Python
Augusto Stoffel,July 2021,"In this talk, I will provide a primer on a class of deep learning models known as graph neural networks (GNNs).  These models generalize the well-known convolutional neural networks (CNNs) ubiquitous in computer vision, and the approach of the talk will emphasize that analogy.  Specifically, after a quick general recap on graphs, we will see how to think of an image as a graph where nodes represent pixels and edges represent the relationship of being a neighbor.  After expressing the formulas for a CNN in terms of this graph, it is not hard to imagine ways to pass from the graph of an image to arbitrary graphs.  This way, one naturally arrives at a basic GNN architecture.  Other recent advances, for instance graph attention networks, can also be surveyed, time permitting.","Data Science,Deep Learning,Machine-Learning,Natural Language Processing",Graph neural networks for information extraction with PyTorch
Yoichi Takai,July 2021,## Goals of this session,"Best Practice,Development,Python general,Software Design,Type-Hinting",Getting Started with Statically Typed Programming in Python 3.10
Reuven Lerner,July 2021,"Generator functions have been a part of Python for many years already, and are a well known technique for creating iterators. But generators have a few lesser-known aspects, including their “send” method and the “yield from” syntax. Many Python developers shy away from using them, unsure of what they would do, or how they would be useful — seeing coroutines as a solution looking for a problem.","ASYNC / Concurreny,Python Skills,Python general","Generators, coroutines, and nanoservices"
Griffith Rees,July 2021,"Halfway through my first postdoc it was clear it would be very difficult to submit a paper to a journal before my contract ended. How do I make  something useful in the time allotted that keeps me motivated enough to finish a paper after my contract ends (and useful on a CV)? Answer: package my code into a tested library via GitHub, The Python Package Index (PyPI) and Zenodo for citations.","Data Science,Documentation,Packaging,PyPi,Testing",From Research Project to PyPI Release
Dhanshree Arora,July 2021,"Imagine a world where all the data generated on your phone and on your wearables never left these devices without compromising your user experience. Or, a world where AI collaboration between data owners and developers did not have to be slowed by bureaucracy and data compliance laws like the GDPR. Federated Machine Learning, originally introduced in 2015, aims to create this world. It is the gift of distributed computing to Artificial Intelligence for training models without compromising data privacy.","Data Privacy,Data Protection,Data Science,Deep Learning",Federated Machine Learning with Python
"Stefan Behnel,David Woods",July 2021,"Python has very fast and thoroughly optimised data structures: lists, dicts, sets and the collections module make it easy to write simple code that performs well. The flip-side shows when it comes to processing very large amounts of simple data, especially numbers or strings. For these, the object overhead of Python's objects is very large in comparison to the low-level languages C and C++ that benefit directly from bare metal CPU performance as well as from GIL-free multi-threading and parallel computation.","C-Languages,Compiler and Interpreters,Cython,Performance,Programming",Fast native data structures: C/C++ from Python
Tonya Sims,July 2021,"“All the cool kids are using FastAPI for API development.” Imagine hearing this, just as you start getting more comfortable using other frameworks, like Python’s Django or Flask, to build out your API’s. Ladies and gentlemen, there’s a new kid on the block and in this talk there’s going to be an epic faceoff between FastAPI and Flask. ","APIs,Development,Web",Faceoff Fun with Python Frameworks: FastAPI vs Flask
Xavier Thompson,July 2021,"Cython is a compiled language, largely inspired by Python, which can already provide both massive speedups and seamless interoperability with C libraries. In Cython, Python and C can freely mix thanks to a unified syntax and gradual typing. This opens the door to bypassing the GIL by restricting oneself to the C side of Cython, but it entails letting go of all the high-level semantics of Python and going back to low-level manual memory management, pointer arithmetic and good old segmentation faults... Not to mention all the joys of multi-threading in C!","C-Languages,Compiler and Interpreters,Cython,Open-Source",Extending Cython with GIL-free types
Gina Häußge,July 2021,With OctoPrint I've created an open source web interface for consumer 3d printers that allows to control all aspects of the printer and ongoing print job and is extensible by plugins. OctoPrint is written in Python and installed by end users on their own devices. In this talk I want to provide some insights into the various challenges of developing and maintaining such a piece of end user facing software in Python and how I tackled them.,"Cross-Platform-Development,Hardware/IoT,Management,Open-Source,failures/mistakes",Driving 3D Printers with Python
Jose Haro Peralta,July 2021,"This presentation shows how we can use documentation-driven development to minimise the risk of API integration failures. APIs are the gateways that connect our web applications to the world. Microservices rely on them to work together, and frontend applications use them to connect to our backend. Despite their importance, API integration failures are a daily occurrence. There’re many reasons for this, but a common factor is the lack of API documentation, or the use of bad API documentation.,Often, API documentation comes in unstructured formats or in JSON examples, instead of standard formats such as OpenAPI or Schema Definition Language. When we don’t use standards to document our APIs, we give up the whole ecosystem of frameworks and tools built around those standards. Such tools and frameworks are designed to make our lives easier when managing the lifecycle of our APIs.,In documentation-driven development, we write the API specification first, and then we implement the API server and the client against the specification. I’ll show how we can use mock servers to test the client while the backend is being developed, and tools like Dredd and schemathesis to validate the backend implementation. I’ll show how we can use these tools in a CI server to validate our code before it’s released. This approach doesn’t eliminate completely the risk of API integration failures, but it helps to minimise it.","APIs,Deployment/Continuous Integration and Delivery,RESTful,Testing,Web Servers and MicroFWs (Flask/Tornado/Nginx/...)",Documentation-driven development for Python web APIs
Marc-Andre Lemburg,July 2021,We need help with organizing and running EuroPython 2022.,"Community,EuroPython,EuroPython Society (EPS)",EuroPython 2022: Help us build the next edition!
"Alexander Mikhalev,Dvir Dukhan",July 2021,"Open-source project ""The Pattern"" is the platform to inspire collaboration for building modern natural language processing tools and techniques and making them practically useful for end-users. In this session, I will walk through creating 3 Machine Learning NLP pipelines and deploying them using Redis and Redis Modules: RedisGears, RedisGraph and RedisAI. ,The first pipeline demonstrates how to use traditional NLP techniques, such as the Aho-Corasic algorithm to build a knowledge graph from medical literature using a medical thesaurus (UMLS).,The second pipeline demonstrates how to build and deploy BERT Question/Answering model and create API for text to speech interface. Leveraging Redis Cluster sharding and capturing Redis Gears ""keymiss"" event to trigger processing of BERT QA in RedisAI.,The third pipeline demonstrates how to deploy Google's T5 (text to text transfer transformers) to build summary of each article.","Big Data,Data Science,Data-Structures,Deep Learning,Distributed Systems",The Pattern: Machine Learning Natural Language Processing meets VR/AR
Mauro Pelucchi,July 2021,"Web scraping, crawling and API are the first step to retrieve information to use for analysis ,and to start a new business.,In this tutorial I'll show you how to use python to set up scraping and crawling processes,,how to simulate users navigation and browser behavior with a ghost browser and how to hook up and use data APIs.,I will also try to explain the technical and ethical aspects that we have to consider when we approach these kinds of challenges.","Big Data,Data Science,Web Crawling,python",Data Ingestion and Big Data
Paula Dozsa,July 2021,"imagiLabs is an EdTech startup based in Stockholm, on a mission to equip and empower girls to engage with tech. We created the imagiCharm, a programmable smart accessory, so that code and be brought to life and shown off! The imagiLabs app (iOS, Android, and web) is a truly social, inclusive platform for teenage girl coders to develop their skills. We also partner with schools, non-profits, and coding companies to bring groups of students our innovative coding curriculum. ","Beginners,Community,PyLadies,Python Skills,Wearables",Creative Coding with imagiLabs
Florian Bruhin,July 2021,"The qutebrowser project is a fully-fledged web browser, implemented in Python. It uses Qt's QtWebEngine, which is based on Chromium, the open-source project behind Google Chrome.","Community,Internet,PyQt,Web,freelancing","qutebrowser: A keyboard-driven, vim-like browser"
Shagun Sodhani,July 2021,"Reinforcement Learning (RL) has led to several groundbreaking innovations, from defeating the world champion of Go to synthesizing molecules and drugs. RL has benefitted from a mature ecosystem of open-source frameworks that have enabled more and more people to use RL for their use cases. A subdomain of RL is multi-task RL, where the agent should perform multiple tasks at once. However, there are far fewer resources for people to start with multi-task RL, and very often, people have to implement all the components from scratch.","Deep Learning,Machine-Learning",Multitask Reinforcement Learning with Python
Mike Müller,July 2021,"Python offers several advanced concepts. It is possible to write useful Python programs without them.  But if you want to really understand how Python works and how to write  pythonic programs, you should know how to write decorators and context managers.","Best Practice,Programming,Python 3,Python Skills,Python general",Understanding Decorators and Context Managers
Bernat Gabor,July 2021,"For most developers, Python packaging feels like a magical (and cryptic) black box. Apps and libraries use a variety of tools and have different packaging challenges. Once you start reading up on this topic, you come across many seemingly random components: setuptools, pip, poetry, wheels, pyproject.toml, MANIFEST.in, virtual environments, zippapp, shiv, pex, and so on. The sheer number of concepts to master can be overwhelming, leading many programmers to conclude that packaging in Python is a mess. Before you despair, join me in this tutorial session where you'll have a chance to learn how to package and publish/deploy your library and/or application through hands-on exercises.",Packaging,Python Packaging Demystified
"Anastasiia Tymoshchuk,Bojan Miletic",July 2021,In this workshop we plan to walk you from initial idea to fully fledged system architecture using Domain Driven Design. You will learn in practice how to create systems with low coupling and high cohesion. ,"Abstractions,Architecture,Engineering,Software Design,System Architecture",Transcend the realms of development - A day in life of a software architect
Samuel Farrens,July 2021,"Classes are one of the fundamental building blocks of Python and are essential for object-oriented programming. In this tutorial we will explore how classes work and look at tips and tricks for getting the most out of them. By the end you should have, not only a much better understanding of what Python classes are, but also some new ideas for writing better code.","Programming,Python Skills,python",The Anatomy of a Python Class
Eli Holderness,July 2021,"In this workshop, we'll each build and deploy a fully featured web app from scratch. Using Anvil, the platform for full-stack web development with nothing but Python (including the client code!), we'll go from `hello world` to production-ready in record time.","Internet,Open-Source,Python Skills,Python general,Web",Speedrunning Web Development: A Full Stack App in 10 minutes
